YEAR,GINI_COEFF_CHI,GINI_COEFF_BOS,GINI_COEFF_LA,GINI_COEFF_NY,GINI_COEFF_WAS,ACTUAL_OR_TARGET
2012,0.4761,0.4809,0.4911,0.5049,0.439,Actual
2013,0.486,0.4839,0.4989,0.512,0.442,Actual
2014,0.4787,0.4859,0.4981,0.5112,0.4411,Actual
2015,0.4851,0.4813,0.4943,0.5163,0.445,Actual
2016,0.4832,0.4753,0.4971,0.513,0.4442,Actual
2017,0.4819,0.4812,0.4927,0.5136,0.4429,Actual
2018,0.4853,0.4856,0.4967,0.5124,0.4457,Actual
2019,0.4808,0.4781,0.4875,0.5118,0.4442,Actual
2021,0.4842,0.4846,0.494,0.5154,0.4533,Actual
2022,0.4831,0.4943,0.5,0.5184,0.4476,Actual
