YEAR,WORKFORCE_PARTIC_RATE_ALL,WORKFORCE_PARTIC_RATE_BLACK,WORKFORCE_PARTIC_RATE_ASIAN,WORKFORCE_PARTIC_RATE_HISPANIC,WORKFORCE_PARTIC_RATE_WHITE,ACTUAL_OR_TARGET
2012,67.6,61.5,66.8,71.2,68.3,Actual
2013,67.4,60.3,67.3,70.8,68.3,Actual
2014,66.9,60.5,67.4,70,67.7,Actual
2015,66.6,59.9,66.7,70.6,67.3,Actual
2016,66.9,61.3,66,70.9,67.3,Actual
2017,66.6,61.6,67,70.7,66.4,Actual
2018,67.1,61.9,67.3,71.2,66.9,Actual
2019,66.8,61.3,67.1,71.2,66.7,Actual
2021,66.3,60.4,67.5,70.3,66.1,Actual
2022,66.7,61.9,67.7,71.2,66,Actual
