YEAR,PCT_ASSOC_DEG_PLUS_ALL,PCT_ASSOC_DEG_PLUS_ASIAN,PCT_ASSOC_DEG_PLUS_BLACK,PCT_ASSOC_DEG_PLUS_HISPANIC,PCT_ASSOC_DEG_PLUS_WHITE,ACTUAL_OR_TARGET
2005,38.9,68.4,27.1,15.9,45.2,Actual
2006,38.4,66.5,25.8,15.3,45.2,Actual
2007,39,66.5,26.1,15.1,46.2,Actual
2008,39.6,68.3,27.2,16.3,46.6,Actual
2009,40.1,67.1,26,16.6,47.7,Actual
2010,40.5,68.4,26.6,17,47.8,Actual
2011,40.9,65.7,27.6,16.9,48.7,Actual
2012,41.674472567573,68.32268325746803,27.6859933345402,17.939299519285154,49.32022414209361,Actual
2013,42.121055886835265,69.15385015905446,28.97122613081266,17.464249928395954,49.86660472807395,Actual
2014,43.15534511890612,68.79265499254494,30.00453744467545,18.3938427297747,51.154836529598334,Actual
2015,43.27265395148438,68.92136667548937,29.474533250716775,18.999060041061817,51.466896363468315,Actual
2016,44.34749229948226,70.38662658659783,30.355049003521593,20.258192821544103,52.438750390088394,Actual
2017,44.786908515838704,70.13317843515892,30.573581167594416,20.121172671056257,53.36792741167806,Actual
2018,45.74000423519272,71.27157310907802,30.77610667206752,20.573470998202932,54.66985256119269,Actual
2019,46.55747293357603,70.40990902835209,32.20793435236956,23.278243121780477,55.03432883832148,Actual
2020,49.2,73,34.9,25.8,57.6,Actual
2021,47.97182522226683,71.40822334061343,34.68835997669096,24.639928314066957,56.56238581183876,Actual
2022,48.56103263952444,73.45712550736681,34.1929508985022,26.45594869403849,56.77266277223597,Actual
