YEAR,MED_HH_INC_ALL,MED_HH_INC_ASIAN,MED_HH_INC_BLACK,MED_HH_INC_HISPANIC,MED_HH_INC_WHITE,ACTUAL_OR_TARGET
2005,67237,84000,40840,52025,78844,Actual
2006,67863,83570,41338,53047,80094,Actual
2007,68593,87219,41289,54967,80401,Actual
2008,68329,84898,40448,54091,80765,Actual
2009,65697,83343,38763,51854,76928,Actual
2010,62863,75925,38050,49860,75047,Actual
2011,61096,77031,37381,45704,73177,Actual
2012,61949,78844,35172,47965,74105,Actual
2013,62397,79486,35325,46721,74086,Actual
2014,62449,82085,35784,48844,75792,Actual
2015,63950,82358,35598,50322,77839,Actual
2016,66020,87469,37258,52730,79865,Actual
2017,66976,85407,38252,53281,80099,Actual
2018,67632,84102,39361,54199,81959,Actual
2019,70765,92358,39181,57007,84582,Actual
2020,71351,90823,42143,62899,83405,Actual
2021,69234,90321,39993,58681,82304,Actual
2022,67998,88255,39091,59964,79679,Actual
