YEAR,MED_HH_INC_ALL,MED_HH_INC_ASIAN,MED_HH_INC_BLACK,MED_HH_INC_HISPANIC,MED_HH_INC_WHITE,ACTUAL_OR_TARGET
2005,67237,84000,40840,52025,78844,Actual
2006,67863,83570,41338,53047,80094,Actual
2007,68593,87219,41289,54967,80401,Actual
2008,68329,84898,40448,54091,80765,Actual
2009,65697,83343,38763,51854,76928,Actual
2010,62863,75925,38050,49860,75047,Actual
2011,61096,77031,37381,45704,73177,Actual
2012,61949,78844,35172,47965,74106,Actual
2013,62405,79496,35329,46727,74095,Actual
2014,62448,82083,35783,48843,75791,Actual
2015,63951,82360,35599,50323,77840,Actual
2016,66020,87469,37258,52730,79865,Actual
2017,66963,85390,38245,53270,80083,Actual
