YEAR,GINI_COEFF_CHI,GINI_COEFF_BOS,GINI_COEFF_LA,GINI_COEFF_NY,GINI_COEFF_WAS,ACTUAL_OR_TARGET
2006,0.463,0.461,0.481,0.499,0.434,Actual
2007,0.466,0.468,0.487,0.504,0.436,Actual
2008,0.467,0.474,0.491,0.506,0.435,Actual
2009,0.469,0.47,0.479,0.504,0.435,Actual
2010,0.467,0.473,0.483,0.501,0.434,Actual
2011,0.4754,0.4767,0.494,0.5072,0.4381,Actual
2012,0.4761,0.4809,0.4911,0.5049,0.439,Actual
2013,0.486,0.4839,0.4989,0.512,0.442,Actual
2014,0.4787,0.4859,0.4981,0.5112,0.4411,Actual
2015,0.4851,0.4813,0.4943,0.5163,0.445,Actual
2016,0.4832,0.4753,0.4971,0.513,0.4442,Actual
2017,0.4819,0.4812,0.4927,0.5136,0.4429,Actual
2018,0.4853,0.4856,0.4967,0.5124,0.4457,Actual
2019,0.4808,0.4781,0.4875,0.5118,0.4442,Actual
2021,0.4842,0.4846,0.494,0.5154,0.4533,Actual
2022,0.4831,0.4943,0.5,0.5184,0.4476,Actual
