YEAR,MEAN_INC_REL2006_QUINT1,MEAN_INC_REL2006_QUINT2,MEAN_INC_REL2006_QUINT3,MEAN_INC_REL2006_QUINT4,MEAN_INC_REL2006_QUINT5,ACTUAL_OR_TARGET
2006,1,1,1,1,1,Actual
2007,1.0462,1.0112,1.0068,1.0099,1.0271,Actual
2008,0.9969,0.9955,1.0053,1.0155,1.0204,Actual
2009,0.9688,0.9537,0.9669,0.9823,0.9902,Actual
2010,0.9378,0.9027,0.9251,0.9518,0.9423,Actual
2011,0.871,0.866,0.9004,0.9311,0.9426,Actual
2012,0.8571552967270937,0.8734775489372549,0.9077615689987184,0.9403104884469596,0.9486610821230272,Actual
2013,0.8410706764431944,0.8730255714547008,0.911386329279296,0.9458152492452844,0.9877901768555984,Actual
2014,0.8789668119102017,0.894118735974777,0.9207439050916598,0.9586832723535,0.9782930028057576,Actual
2015,0.900887610992932,0.9039754429074646,0.9446280919221692,0.9897663578312804,1.0278221003181398,Actual
2016,0.8916652746588046,0.926221467602986,0.970802168571337,1.0098534078850587,1.039622107732707,Actual
2017,0.930338579729002,0.954783055242378,0.9846463843796118,1.0203218278697208,1.05645060505966,Actual
2018,0.9557769668039506,0.9600999521991972,0.99613235991129,1.038924260775995,1.089115071511946,Actual
2019,0.9947433533089012,1.0047177755159726,1.0402601147869868,1.0745768326894702,1.110677659557241,Actual
2020,1.1148,1.1524,1.1602,1.1866,1.1909,Actual
2021,0.9050920287908192,0.9883499761569744,1.0208561728847667,1.053941278141448,1.0954968249940225,Actual
2022,0.9020782600562448,0.9795736780962352,1.00310753535613,1.0283127869009443,1.075361723778714,Actual
