YEAR,WORKFORCE_PARTIC_RATE_ALL,WORKFORCE_PARTIC_RATE_BLACK,WORKFORCE_PARTIC_RATE_ASIAN,WORKFORCE_PARTIC_RATE_HISPANIC,WORKFORCE_PARTIC_RATE_WHITE,ACTUAL_OR_TARGET
2005,68.1,63.3,68.4,71.0,68.6,Actual
2006,67.6,61.0,68.7,71.1,68.5,Actual
2007,67.6,61.5,68.1,71.8,68.1,Actual
2008,69.0,62.9,70.8,73.2,69.5,Actual
2009,68.5,61.5,70.2,72.4,69.2,Actual
2010,67.6,60.0,68.8,70.9,68.7,Actual
2011,67.4,59.7,68.3,71.7,68.1,Actual
2012,67.6,61.5,66.8,71.2,68.3,Actual
2013,67.4,60.3,67.3,70.8,68.3,Actual
2014,66.9,60.5,67.4,70.0,67.7,Actual
2015,66.6,59.9,66.7,70.6,67.3,Actual
2016,66.9,61.3,66.0,70.9,67.3,Actual
2017,66.6,61.6,67.0,70.7,66.4,Actual
2018,67.1,61.9,67.3,71.2,66.9,Actual
2019,66.8,61.3,67.1,71.2,66.7,Actual
