YEAR,WORKFORCE_PARTIC_RATE,ACTUAL_OR_TARGET
2005,79.16,Actual
2006,79.14,Actual
2007,79.18,Actual
2008,80.85,Actual
2009,80.68,Actual
2010,80.44,Actual
2011,80.09,Actual
2012,80.63218001121719,Actual
2013,80.2933830307105,Actual
2014,79.94830329280214,Actual
2015,79.83687702039866,Actual
2016,80.48121421734645,Actual
2017,80.46298593101079,Actual
2018,81.37554814366906,Actual
2019,81.13274970523648,Actual
2020,81.1,Actual
2021,81.09326728662732,Actual
2022,82.1387113438611,Actual
2025,80.9,Target
2050,83.4,Target
