YEAR,COMMUTE_MINS_ASIAN,COMMUTE_MINS_BLACK,COMMUTE_MINS_HISPANIC,COMMUTE_MINS_WHITE,ACTUAL_OR_TARGET
2005,30.3,36.7,28.4,29.1,Actual
2006,30.9,34.6,29.5,28.4,Actual
2007,30.7,35,29.1,28.8,Actual
2008,31.4,35,29.2,29.2,Actual
2009,30.5,34.6,28.6,28.7,Actual
2010,30.3,33.1,28.8,28.6,Actual
2011,30.5,33.7,28.6,28.8,Actual
2012,30.69211992899133,33.18925080393832,29.218311819555627,28.333488936006823,Actual
2013,30.839024866871856,33.98096180190956,29.067552288140423,29.1245950243868,Actual
2014,30.649282751469062,33.76908087811689,29.644921505600355,29.48494741632785,Actual
2015,31.589795579083937,34.50554571659095,29.286208791441943,29.443586007212033,Actual
2016,30.506005597450052,34.28675988621592,30.17824423985421,29.423703955185875,Actual
2017,31.844619066394035,34.23883634195578,29.61261904737748,29.47066814677073,Actual
2018,30.497263521423555,35.74146919841721,29.640588941245092,29.82374713871538,Actual
2019,32.00787997829814,34.71296757952178,30.359622019621828,29.51398952183527,Actual
2020,23.4,28.7,26.1,22.6,Actual
2021,21.12191484881786,27.43069907564494,25.47451433249039,20.87499898303706,Actual
2022,27.06728732133799,24.135610093927195,23.838443592734546,23.38550725897781,Actual
